customer_id,customer_name,product_id,product_name,sales_amount,quantity,transaction_date
C9198,John Rodriguez,P00013,Environmental,2415.73,4,2023-10-17
C8773,Monica Skinner,P00031,Present,258.19,2,2022-04-26
C1422,Samantha Garrison,P00035,Second,2387.46,14,2023-09-22
C8393,Jill Reynolds,P00015,Collection,3647.4,17,2022-04-18
C9367,Andre Mathis,P00014,Information,748.53,2,2024-06-16
C5695,Rebecca Hickman,P00035,Second,2540.17,13,2023-12-31
C3360,Jack Simon,P00081,Reality,3216.39,3,2022-05-27
C2247,Jill Perry,P00094,Fund,3495.12,1,2023-11-19
C4119,Olivia Daniels,P00098,Practice,3633.83,12,2024-04-04
C2670,Carolyn Brown,P00004,Claim,3419.71,1,2025-02-20
C1119,Andrew Goodwin,P00004,Claim,2010.32,1,2023-10-13
C8535,Zachary Rodriguez,P00032,From,3607.14,9,2023-09-19
C7309,Brittany Warren,P00089,Mention,3268.29,14,2023-02-23
C9410,Daniel Salas,P00079,Physical,3641.26,18,2024-04-12
C8577,Crystal Solis,P00026,Civil,136.57,6,2024-07-31
C7070,Mr. Frank Anderson,P00086,Expect,4511.06,5,2023-04-26
C4915,Tasha Davis,P00047,Successful,3453.06,12,2022-08-21
C8396,Stephen Smith,P00046,Really,1877.89,14,2023-09-14
C6966,Barbara Henderson,P00094,Fund,1393.95,9,2022-05-02
C1574,Mrs. Kristin Valenzuela,P00065,Response,3388.38,9,2023-08-16
C4011,Jose Sosa,P00076,Several,4819.43,6,2024-11-25
C4134,Ashley Peters,P00060,Practice,3119.17,9,2023-01-17
C1764,Richard Davis,P00021,Structure,1304.92,2,2023-09-13
C5423,Daisy Mclaughlin,P00036,Stay,871.74,11,2022-12-30
C4425,Stephen Robinson,P00088,East,4178.04,19,2023-07-30
C6661,David Ferguson,P00035,Second,4605.06,5,2022-07-11
C2477,Deborah Smith,P00015,Collection,383.91,5,2023-06-13
C9434,Lisa Pruitt,P00024,Deal,4740.43,20,2023-12-21
C4411,Philip Cook,P00100,Travel,4282.32,10,2022-07-31
C4938,John French DDS,P00033,Sell,1115.13,16,2023-06-02
C1160,Jacob Harrison,P00004,Claim,1526.67,7,2023-09-15
C5717,Erica Turner,P00027,Half,313.2,4,2022-12-09
C5602,Catherine Schmidt,P00024,Deal,613.11,2,2023-08-12
C5790,Beverly Cook,P00009,Including,3286.03,15,2023-01-14
C9919,Thomas Brooks,P00015,Collection,1833.49,15,2023-12-27
C3395,Dustin Harris,P00063,Per,2727.95,9,2023-05-28
C6775,Nicholas Nicholson,P00045,Meet,3267.9,4,2023-10-20
C6718,Brenda Harris,P00045,Meet,4708.17,7,2022-06-07
C2872,Nicholas Palmer,P00020,Model,4645.53,1,2023-06-27
C3619,Christopher Collier,P00006,Each,3900.99,10,2023-01-24
C8796,Philip Mclean,P00047,Successful,3608.93,15,2022-04-09
C6238,Victor Jones,P00057,Write,3395.47,4,2024-01-31
C3110,Stuart Cunningham DDS,P00053,Course,4849.78,8,2023-08-18
C3945,Shawn Stevens,P00081,Reality,1544.37,18,2024-10-23
C3210,Christopher Lyons,P00076,Several,1806.82,15,2024-11-05
C9953,Crystal Walker PhD,P00059,Next,4481.19,9,2024-01-14
C1371,Robert Romero,P00006,Each,602.78,18,2023-09-16
C1072,Kelsey Powell,P00087,Cost,2092.67,8,2024-05-31
C1051,Dawn Flynn,P00018,Hour,2036.43,12,2022-08-11
C4515,Lori Morrow,P00092,Smile,2368.47,19,2023-09-07
C6951,Jasmine Holloway,P00093,My,3427.5,14,2023-09-09
C2345,Stephanie Frazier,P00018,Hour,2248.44,1,2024-01-22
C2723,Morgan Miller,P00075,End,3744.12,2,2025-01-04
C5269,Elizabeth Johnson,P00052,Car,1625.98,9,2023-04-10
C6174,Tina Hicks,P00020,Model,1207.99,12,2022-12-18
C1978,Michael Aguilar,P00090,Summer,2709.77,1,2023-01-29
C1349,Steven Brown,P00068,Treat,3506.71,20,2023-03-08
C9725,Scott Martinez,P00096,Bad,3754.66,6,2025-03-10
C6222,Mr. Michael Brown,P00018,Hour,4818.6,13,2024-10-16
C8544,Crystal Richardson,P00014,Information,962.91,9,2024-01-11
C4042,Destiny Pierce,P00068,Treat,1158.72,18,2023-02-10
C3552,Kathy Smith,P00051,Author,4202.62,15,2023-12-14
C5931,Wesley Landry,P00076,Several,902.55,11,2024-12-26
C1254,Christopher Sanchez,P00060,Practice,654.67,7,2024-01-22
C7014,Paul White,P00090,Summer,3504.97,16,2022-11-30
C7605,Andrew Rivera,P00024,Deal,3024.83,20,2024-02-17
C3578,Matthew Salinas,P00037,Thank,235.33,9,2023-11-03
C5126,James Watson,P00034,Quality,2655.14,9,2024-02-13
C8883,Mr. John Underwood,P00006,Each,2392.79,4,2022-10-10
C7010,Barbara Vasquez,P00079,Physical,3300.02,14,2023-07-14
C9506,Patricia Carr,P00087,Cost,608.12,8,2022-03-31
C3949,Angela Moran,P00095,Can,2351.88,4,2023-07-06
C1620,James Mann,P00017,House,1032.34,10,2024-03-30
C1578,Daniel Ortiz,P00039,Often,3423.56,5,2023-04-14
C2529,Lisa Price,P00050,Often,1834.21,11,2023-01-22
C9514,Sean James,P00038,Choose,476.84,8,2023-07-30
C9336,Richard Hines,P00064,Note,754.42,18,2022-07-16
C3634,Kimberly Herrera,P00065,Response,1687.14,20,2022-06-17
C8711,Lori Fuller,P00017,House,1680.29,9,2022-09-01
C6467,Amber Harris,P00091,Also,913.73,4,2025-03-14
C5630,Taylor Hurley,P00086,Expect,1874.95,18,2022-11-20
C8640,Heather Reed,P00030,Lose,879.28,5,2023-04-19
C5756,Kristin Hood,P00080,Great,3021.59,10,2024-01-07
C6632,Jonathan Aguilar,P00035,Second,1157.81,20,2025-01-18
C1099,Alexis Lawrence,P00042,First,1549.02,12,2024-05-17
C4405,Kimberly Park,P00036,Stay,362.7,15,2023-10-23
C2914,Jasmine Jones,P00015,Collection,3136.84,3,2023-02-23
C6225,Joseph Porter,P00042,First,3160.84,3,2023-02-27
C8517,Shane Fleming,P00019,White,208.64,9,2023-02-10
C3893,Carlos Barnes,P00079,Physical,1950.68,4,2024-06-15
C2771,Diane Day,P00002,High,698.89,19,2023-11-28
C1736,Debra Mcdowell,P00047,Successful,2377.15,20,2023-07-11
C4278,Justin Yang,P00058,His,4920.9,18,2022-11-22
C5632,Elizabeth Stokes,P00079,Physical,3022.31,4,2024-03-29
C3057,Brenda Banks,P00095,Can,159.09,6,2022-05-11
C8479,Heather Harper,P00063,Per,1411.19,11,2023-09-07
C9168,Gregory Smith,P00015,Collection,3850.41,13,2022-06-30
C3229,Brian Hill,P00003,Line,341.92,3,2023-04-02
C2121,Shannon Ortiz,P00008,Until,1820.75,19,2024-04-08
C1582,Thomas Ray,P00018,Hour,4859.7,15,2024-09-07
C7365,Lauren Duncan,P00061,Sit,2014.68,4,2023-08-17
C5673,Alexander Matthews,P00059,Next,3577.65,9,2024-11-30
C2755,Emily Yu,P00040,Maintain,3159.7,14,2024-01-30
C6108,Susan Perry,P00057,Write,557.62,11,2023-07-09
C3563,Maureen Lindsey,P00006,Each,3495.86,13,2023-01-04
C3802,Lauren Merritt,P00079,Physical,357.15,15,2022-05-24
C8113,Cody Christian,P00055,Play,4520.07,5,2024-02-05
C1678,Randall Jackson,P00075,End,1273.08,12,2024-11-29
C6553,Gary Travis,P00007,Store,2398.85,19,2024-03-27
C3741,Brett Sutton,P00093,My,2069.82,1,2024-09-29
C3445_1,Anna King,P00025,Guess,351.55,10,2024-02-14
C7031,Molly Heath,P00053,Course,1723.25,18,2023-06-28
C1087,Vanessa Atkinson,P00020,Model,1072.02,11,2023-09-27
C9148,Danny Ware,P00049,Staff,4888.36,13,2023-07-06
C4570,Edward Terry,P00093,My,4722.77,18,2023-12-12
C2487,Brenda Adkins,P00059,Next,2410.24,10,2022-05-03
C1015,Michelle Castro,P00098,Practice,4734.92,3,2022-08-01
C1560,Brendan Mathews,P00025,Guess,4119.0,18,2024-05-04
C2997,Justin Austin,P00080,Great,1896.46,12,2024-06-17
C5955,Cynthia Shelton,P00059,Next,1397.06,20,2024-08-05
C9288,Cameron Johnson,P00083,Per,566.21,12,2022-05-02
C9237,Bryan Jackson,P00030,Lose,340.62,16,2022-09-09
C6329,Eric Ramirez,P00069,Away,2285.89,14,2022-11-01
C8954,Kayla Skinner,P00074,City,4013.96,9,2023-10-05
C8108,Ryan King,P00044,Table,4106.06,20,2022-08-06
C5249,Stephanie Ferguson,P00026,Civil,2248.88,2,2023-01-17
C2356,Randy Burton,P00075,End,2944.53,8,2023-05-15
C8239,Olivia Taylor,P00048,Who,110.16,14,2022-04-26
C3866,Karen Gill,P00069,Away,1567.73,18,2022-11-03
C5112,Jessica Arnold,P00032,From,636.33,10,2023-03-04
C3143,Christina Delacruz,P00029,Live,3613.15,20,2023-11-22
C2819,Christopher Brown,P00098,Practice,3685.39,15,2022-04-10
C7171,Tracy Johnson,P00007,Store,3859.69,9,2024-08-30
C8034,Kimberly Morales,P00055,Play,4163.36,20,2022-12-14
C1274_1,Christy White,P00036,Stay,43.09,20,2023-12-20
C5577,Julian Coleman,P00094,Fund,377.81,20,2024-09-05
C7737,Christopher Scott,P00099,Add,1827.22,17,2022-06-11
C1098,Rebecca Baker,P00096,Bad,3073.08,19,2024-06-23
C9831,Katherine Myers,P00020,Model,3195.28,20,2025-01-20
C8088,Joshua Saunders,P00078,Step,2122.62,12,2022-11-26
C7098,Angela Riddle,P00012,Policy,3345.04,15,2023-11-14
C5348,Brianna Ramos,P00015,Collection,202.11,8,2025-03-02
C8038,Lisa Mendoza,P00032,From,3043.04,15,2023-10-05
C5497,Anna Patton,P00039,Often,1459.49,17,2024-02-23
C9289,Dawn Krause DVM,P00005,Tonight,1921.68,2,2024-06-22
C7342,Laura Walker,P00007,Store,30.93,18,2023-02-08
C6505,Christopher Mueller,P00057,Write,3707.44,20,2025-03-17
C3805,Jeffery Garcia,P00096,Bad,2669.01,11,2023-01-13
C2635,Dr. Shirley Goodwin,P00014,Information,418.53,1,2022-10-09
C9914,Alejandro Evans,P00003,Line,1413.4,20,2024-05-21
C9304,Christian Sandoval,P00072,Director,1594.07,2,2023-04-07
C4780,Julie Stone,P00072,Director,3083.16,19,2024-11-29
C1446,Carlos Wells,P00072,Director,4518.39,5,2025-02-28
C2907,Jennifer Liu,P00007,Store,2001.82,17,2023-08-30
C9610,Jonathan James,P00048,Who,3848.62,5,2024-05-22
C3883,Mark Bailey,P00093,My,3109.38,20,2023-04-30
C6144,Tracy Wallace,P00039,Often,1346.18,16,2023-07-21
C2533,Leah Anderson,P00076,Several,2218.78,3,2024-03-18
C5102,Lauren Newman,P00019,White,4068.69,4,2023-04-30
C4291,Crystal Fischer,P00039,Often,2279.58,17,2023-09-01
C6779,Scott Graham,P00059,Next,4174.0,10,2023-02-12
C1969,Brian Santiago,P00098,Practice,4992.22,4,2022-07-28
C7046,Vincent Rodriguez,P00026,Civil,2814.11,15,2022-09-15
C9062,Anthony Brown,P00035,Second,4809.56,15,2024-03-12
C5181,Gregory Kim,P00001,Require,2136.69,10,2022-07-24
C9449,Eric Macdonald,P00048,Who,1603.97,7,2022-05-15
C4073,Thomas Vance,P00077,Research,2136.82,20,2024-10-23
C7447,Jessica Richardson,P00066,Never,4998.8,14,2024-04-04
C6192,Kayla Marks,P00033,Sell,232.62,15,2022-05-24
C5303,Ronald Smith,P00018,Hour,4974.66,6,2024-07-22
C6914,Matthew Potter,P00028,That,172.43,1,2022-12-26
C9452,Keith Valenzuela,P00082,Much,3106.56,19,2024-02-24
C7700,Christopher Norton,P00056,Road,2695.33,20,2023-06-26
C6975,Erica Bond,P00070,Although,2018.45,10,2025-01-11
C7148,Jonathan Ingram,P00098,Practice,1294.16,13,2024-07-07
C4196,Dr. April Morris,P00076,Several,3292.17,1,2024-04-09
C1878,Jeffery Ray,P00035,Second,3394.39,13,2023-03-10
C5666,Jesse Baird,P00001,Require,487.05,3,2024-08-27
C6876,Terry Martinez,P00004,Claim,368.42,2,2022-09-26
C8886,Ryan Rogers,P00067,Something,92.18,7,2024-11-27
C5947,Derrick Hill,P00092,Smile,3988.41,1,2023-08-05
C7730,Veronica Kline,P00033,Sell,2156.92,18,2024-04-19
C7149,Jamie Horton,P00057,Write,3273.1,10,2024-01-06
C8129,Kenneth Marshall,P00080,Great,4895.03,20,2024-07-11
C9904,Cheyenne Hoover,P00077,Research,4414.3,3,2022-05-30
C8458_1,Melanie Silva,P00066,Never,1668.8,11,2024-09-18
C3535,Holly Bates,P00085,Friend,4132.61,5,2024-01-03
C3993,Robert Garza,P00065,Response,1626.29,4,2022-08-06
C7739,Kristine Taylor,P00041,Attorney,2906.69,7,2024-03-07
C5975,Nicholas Garcia,P00038,Choose,4150.97,3,2024-02-19
C8790,Michael Hernandez,P00045,Meet,1447.27,12,2025-02-15
C1273,Donald Miller,P00049,Staff,996.51,18,2023-08-02
C5651,Richard Jimenez,P00063,Per,3234.43,19,2023-06-12
C7632,Mr. Matthew Scott,P00060,Practice,1284.82,8,2022-06-12
C6158,Molly Burton,P00089,Mention,2049.24,18,2023-07-18
C3332,Daniel King,P00040,Maintain,3734.06,14,2023-12-02
C1884,Jason Michael,P00034,Quality,188.56,3,2024-11-16
C5394,Russell Solomon,P00070,Although,555.51,5,2023-05-07
C8167,Jason Andrews,P00100,Travel,2705.09,11,2024-11-02
C4221,William Moore,P00048,Who,2073.72,10,2024-06-14
C3866_1,Ashley Marks,P00024,Deal,3940.44,6,2024-01-12
C1403,Dr. Michelle Thompson,P00050,Often,214.86,14,2023-12-03
C6269,Sarah Taylor,P00033,Sell,4742.59,6,2023-03-26
C1616,Dr. Robert Scott,P00001,Require,3422.87,20,2023-11-03
C7472,John Hall,P00031,Present,3701.61,16,2024-09-04
C4164,Jonathan Fisher,P00032,From,3436.57,12,2024-07-02
C8713_1,Leslie Lee,P00028,That,527.54,2,2025-02-20
C7726,Dr. Stephanie Massey,P00048,Who,1881.51,1,2022-11-03
C3146,Kathryn Miller,P00017,House,1493.12,3,2023-02-20
C3242,Steven Morales,P00031,Present,2749.81,18,2023-10-24
C5291,Jessica Martin,P00026,Civil,3979.67,6,2022-03-20
C1274_2,Taylor Richard,P00035,Second,1880.87,1,2024-04-27
C7719,Guy Brown,P00086,Expect,3271.03,14,2023-06-08
C4420,Casey Perry,P00084,Before,3701.15,7,2023-11-28
C8768,Andrew Scott,P00087,Cost,887.29,7,2023-04-29
C9281,Adam Austin,P00029,Live,3753.3,11,2023-08-27
C2794,Garrett Moore,P00048,Who,2956.07,17,2023-08-26
C6941,Gabrielle Jones,P00031,Present,2213.21,11,2022-05-31
C6874,Mrs. Megan Roberts,P00060,Practice,3528.43,1,2024-08-16
C4882,David Graham,P00073,Research,1891.33,20,2024-07-17
C3369,Dillon Camacho,P00044,Table,406.28,5,2024-12-28
C6418,Teresa Warner,P00065,Response,2027.81,6,2023-01-07
C7058,Zachary Jones,P00034,Quality,3531.43,3,2023-01-08
C7820,Emily Davis,P00083,Per,4084.51,6,2022-12-09
C4993,Marvin Fernandez,P00068,Treat,2211.32,16,2023-07-23
C3519,Ann Harris,P00021,Structure,2000.48,10,2025-01-07
C2368,Michael Andrews,P00053,Course,3570.48,3,2022-11-30
C3375,Charles Stafford,P00016,Drive,3997.2,20,2024-06-10
C3236,Jamie Downs,P00003,Line,2569.56,11,2024-01-07
C7923,Jessica Jones,P00069,Away,216.8,17,2024-04-23
C6565,Robert Miller,P00008,Until,3002.78,14,2022-12-03
C6537,Adriana Abbott,P00058,His,2408.42,18,2024-06-10
C9676,Jessica Peters,P00098,Practice,4756.47,8,2024-10-09
C9733,Carlos Ortiz,P00074,City,516.45,13,2023-07-08
C9037,David Patel,P00076,Several,4009.42,19,2023-03-15
C9868,Brian Turner,P00044,Table,4763.07,2,2023-12-27
C6572,Carol Fuller,P00054,Tough,3633.85,9,2022-10-24
C9708,William Wright,P00024,Deal,4541.47,4,2022-05-06
C7287,Nicole Lin,P00069,Away,196.04,17,2022-09-02
C5399,Scott Patterson,P00004,Claim,2236.44,1,2023-01-29
C2237,Daniel Hutchinson,P00071,Almost,3874.07,10,2024-09-07
C4953,Derek Brewer,P00015,Collection,4063.59,12,2025-01-12
C6492,Christine Romero,P00006,Each,4044.13,7,2024-04-09
C3653,Brenda Hansen,P00016,Drive,1705.86,7,2024-01-27
C7491,William Keller,P00030,Lose,257.19,7,2023-11-05
C6886,Lisa Garcia,P00092,Smile,3279.63,2,2023-10-29
C2177,Erica Costa MD,P00006,Each,922.61,20,2023-05-01
C4749,Thomas Edwards,P00089,Mention,806.72,6,2022-04-07
C6415,Heidi Taylor,P00065,Response,1293.89,17,2023-04-19
C9108,Nicole Snyder,P00092,Smile,3940.46,6,2022-06-24
C7374,William Sanchez,P00033,Sell,2410.34,14,2023-03-06
C7115,Vanessa Robinson,P00089,Mention,1599.12,8,2023-03-26
C8582,Matthew Conner,P00096,Bad,847.33,8,2022-11-06
C8736,Carlos Martinez,P00051,Author,3982.31,5,2024-01-15
C2824,Christian Wright,P00023,Better,1094.98,1,2023-04-14
C1071,Amanda Garrison,P00069,Away,3301.82,13,2024-10-18
C7840,Gwendolyn Alexander,P00078,Step,4981.34,18,2024-10-12
C2193,Gina Nguyen,P00006,Each,2578.62,8,2024-05-18
C5160,Sandra Reilly,P00018,Hour,766.95,20,2023-07-23
C1704,Jonathon Copeland,P00064,Note,313.62,2,2024-01-20
C4373,Christopher Wheeler,P00090,Summer,1990.8,13,2023-08-30
C8893,Tara Rios,P00054,Tough,136.19,3,2023-02-25
C4204,Tanya Smith,P00040,Maintain,1802.97,17,2023-03-11
C5761,James Holden,P00046,Really,4653.74,12,2023-10-19
C2770,David Leonard,P00039,Often,476.66,18,2023-10-16
C9119,Christina Perry,P00074,City,912.78,5,2024-07-13
C5348_1,Courtney Schmidt,P00022,Fine,1274.84,3,2022-05-23
C3718,Kenneth Lewis,P00068,Treat,40.76,4,2023-11-10
C3247,Brian Riggs,P00057,Write,911.84,9,2022-05-15
C3620,Tammy Elliott,P00060,Practice,2101.38,2,2023-07-07
C6373,Jose Fisher,P00069,Away,2722.48,10,2023-09-05
C9907,Nicole Chavez,P00005,Tonight,3660.89,6,2023-07-12
C9354,Sherry Phillips,P00040,Maintain,1553.08,9,2024-01-12
C3862,Christopher Ortiz,P00038,Choose,4304.71,12,2024-06-15
C2641,Megan Dalton,P00011,Often,949.3,3,2024-08-02
C1528,Brian White,P00041,Attorney,2887.28,11,2024-03-17
C7715,Holly Armstrong,P00070,Although,2983.75,16,2024-08-20
C3482,Kenneth Fisher,P00063,Per,461.18,14,2022-11-07
C6358,Jake Hall,P00046,Really,276.3,5,2022-03-21
C7019_1,Ashley Cox,P00089,Mention,3477.89,4,2025-02-14
C2624,John Smith,P00099,Add,437.21,7,2024-09-06
C7413,Sean Marks,P00071,Almost,2935.94,5,2023-07-29
C9909,Ernest Adkins,P00098,Practice,3248.91,15,2023-12-20
C2367,Greg Baker,P00013,Environmental,3101.93,2,2024-07-07
C8212,Dawn Shaffer,P00097,Talk,401.97,4,2023-12-22
C7108,Nathan Bender,P00035,Second,4736.95,3,2025-02-19
C7906,Victor Cole,P00073,Research,3583.06,11,2024-05-26
C4095,Robert Stephens,P00037,Thank,633.26,14,2024-03-02
C6695,Christina Flores,P00048,Who,3459.47,17,2024-06-09
C7879,David Duffy,P00046,Really,2723.96,13,2023-04-11
C4721,Seth Sanders PhD,P00025,Guess,2839.07,12,2023-06-28
C9101,Deborah Wolfe,P00073,Research,109.81,14,2023-04-17
